agent,title,date,url,attachment_url,attachment_name,attachment_webfile_id,attachment_times
1035,关于报送各学院2017年教学工作总结和2018年教学工作计划的通知-福州大学教务处,2017-12-19,https://jwch.fzu.edu.cn/info/1035/11554.htm,,,,
1035,关于做好2017-2018学年第二学期教材征订工作的通知-福州大学教务处,2017-12-01,https://jwch.fzu.edu.cn/info/1035/11553.htm,,,,
1035,关于教务处暂停对外办公的通知-福州大学教务处,2017-11-10,https://jwch.fzu.edu.cn/info/1035/11552.htm,,,,
1035,关于填报2018年《印刷和出版服务购买预算表》的通知-福州大学教务处,2017-09-13,https://jwch.fzu.edu.cn/info/1035/7364.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605096,2018年印刷和出版服务购买预算表.rar,7605096,836
1035,关于成立福州大学本科生学籍事务管理委员会的通知-福州大学教务处,2017-07-10,https://jwch.fzu.edu.cn/info/1035/7362.htm,,,,
1035,关于哲学社会科学相关专业统一使用马工程教材的通知-福州大学教务处,2017-05-19,https://jwch.fzu.edu.cn/info/1035/7361.htm,,,,
1035,福州大学本科教学工作2016-2017学年第二学期工作要点-福州大学教务处,2017-04-01,https://jwch.fzu.edu.cn/info/1035/7447.htm,,,,
1035,关于报送各学院2017年教学工作计划的通知-福州大学教务处,2017-04-01,https://jwch.fzu.edu.cn/info/1035/7449.htm,,,,
1035,关于召开全校期初教学工作会议的通知-福州大学教务处,2017-03-14,https://jwch.fzu.edu.cn/info/1035/7445.htm,,,,
1035,关于“福州大学教务处”官方公众平台上线的通知-福州大学教务处,2017-03-13,https://jwch.fzu.edu.cn/info/1035/7441.htm,,,,
1035,关于召开福州大学教学指导委员会会议的通知-福州大学教务处,2017-03-10,https://jwch.fzu.edu.cn/info/1035/7440.htm,,,,
1035,福州大学本科教学工作2015-2016学年第二学期工作要点-福州大学教务处,2016-03-30,https://jwch.fzu.edu.cn/info/1035/7439.htm,,,,
1035,福州大学2015年本科教学工作总结-福州大学教务处,2016-01-11,https://jwch.fzu.edu.cn/info/1035/7437.htm,,,,
1035,关于召开福州大学本科教学审核评估动员大会的通知-福州大学教务处,2015-09-29,https://jwch.fzu.edu.cn/info/1035/7435.htm,,,,
1035,福州大学教务处2014—2015学年第二学期工作要点-福州大学教务处,2015-03-25,https://jwch.fzu.edu.cn/info/1035/7433.htm,,,,
1035,关于召开全校期初教学工作会议的通知-福州大学教务处,2013-09-16,https://jwch.fzu.edu.cn/info/1035/7431.htm,,,,
1035,关于召开期末教学工作会议的通知-福州大学教务处,2012-12-25,https://jwch.fzu.edu.cn/info/1035/7430.htm,,,,
1035,关于组织教师参加第四届“中国大学教学论坛”征文的通知-福州大学教务处,2011-09-02,https://jwch.fzu.edu.cn/info/1035/7428.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605087,福州大学省级以上特色专业名单.xls,7605087,792
1035,关于组织教师参加第四届“中国大学教学论坛”征文的通知-福州大学教务处,2011-09-02,https://jwch.fzu.edu.cn/info/1035/7428.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605086,关于举办第四届《中国大学教学论坛》的第一轮通知.xls,7605086,747
1035,关于召开期末教学工作会议的通知-福州大学教务处,2011-06-07,https://jwch.fzu.edu.cn/info/1035/7426.htm,,,,
1035,关于赴台湾铭传大学2011暑期研习营的通知-福州大学教务处,2011-05-31,https://jwch.fzu.edu.cn/info/1035/7424.htm,,,,
1035,关于调整福州大学教学指导委员会委员的通知-福州大学教务处,2011-04-27,https://jwch.fzu.edu.cn/info/1035/7410.htm,,,,
1035,关于教务处领导班子工作分工的通知-福州大学教务处,2011-03-01,https://jwch.fzu.edu.cn/info/1035/7408.htm,,,,
1035,关于开通第三轮校选课的有关通知-福州大学教务处,2011-02-25,https://jwch.fzu.edu.cn/info/1035/7406.htm,,,,
1035,关于校选课《果品营养与食疗》课程取消的通知-福州大学教务处,2011-02-22,https://jwch.fzu.edu.cn/info/1035/7404.htm,,,,
1035,关于2010-2011学年第二学期跨院（系）、跨学科选修课（校选课）选课须知-福州大学教务处,2011-02-20,https://jwch.fzu.edu.cn/info/1035/7403.htm,,,,
1035,关于核对2010-2011第二学期全校性公共选修课开课信息的有关通知-福州大学教务处,2011-01-14,https://jwch.fzu.edu.cn/info/1035/7401.htm,,,,
1035,关于做好期末复习考试及下学期开学等工作的通知-福州大学教务处,2010-12-22,https://jwch.fzu.edu.cn/info/1035/7488.htm,,,,
1035,关于2010-2011学年第二学期学生选课的通知-福州大学教务处,2010-12-20,https://jwch.fzu.edu.cn/info/1035/7486.htm,,,,
